%eval_id	interface	vel____	theta__	A______	B______	n______	c______	s______	d______	pc_____	uc_____	k1_____	k2_____	k3_____	pl_____	ul_____	obj_fn
79	NO_ID	592.9604047	1.282587608	0.31482202	1.166549838	0.733461705	0.010607032	7.63804781	0.022401073	6632725.296	0.004272097	1054260621	5466743598	7860129659	145031111.1	0.376940821	538.3107
80	NO_ID	367.7804989	0.195509724	0.324110627	0.973391521	0.751903559	0.010709549	8.04402907	0.0221023	21555394.58	0.002065615	1087213944	4670689314	8355085593	154041120.6	0.339042454	312.9254
81	NO_ID	555.609601	5.686303369	0.305612912	1.143636618	0.696304532	0.011040248	5.7654976	0.021316224	22791228.62	0.002258361	1195890734	5534210127	8848754199	148802749	0.360682019	497.1829
82	NO_ID	501.0465621	3.778202317	0.29394498	1.0964911	0.752961104	0.011813332	8.388495011	0.021144817	23184327.69	0.005863712	1123729847	4999084028	8294060718	172634962.8	0.377135042	444.6098
83	NO_ID	668.4348237	1.111958953	0.276162282	1.013489827	0.663982376	0.011428173	6.994809549	0.021886766	18681247.49	0.004625597	1043689866	5490360930	8664773636	142900358.4	0.390761304	609.2685
85	NO_ID	722.4707923	1.928280325	0.319094168	1.055029449	0.632654414	0.011366863	7.45800735	0.022267212	23167803.73	0.001484506	1238131111	5067800473	8243331375	157576565.2	0.327302264	657.014
86	NO_ID	343.7104771	1.276012642	0.300376612	1.148455851	0.631468013	0.011464714	7.066444958	0.020495789	12157023.58	0.004701783	1246764148	4982766689	9147223805	168433454.7	0.386719729	288.9736
87	NO_ID	609.5409791	1.135463092	0.29100656	1.114223943	0.627448799	0.010215094	8.967499391	0.021735834	8493159.876	0.00356532	1091052910	4847894385	9326396783	163576054.8	0.324428176	551.0997
88	NO_ID	570.2186118	1.761197138	0.276474487	1.039958411	0.636190079	0.010022002	9.322377173	0.021997681	9231697.282	0.004743713	1197062111	5407736360	8284584321	162921469.9	0.350030532	515.819
89	NO_ID	318.5375349	0.800379855	0.325874192	1.028782008	0.712238174	0.011073903	8.523368962	0.022472948	12863926.44	0.003492216	1239590124	5206172064	8635313916	161182685.9	0.382453535	264.4462
90	NO_ID	699.2856592	4.229885132	0.283233836	0.98135693	0.685054939	0.01075108	7.007272113	0.023578583	17685573.05	0.001490755	1151847122	4775575945	8466850454	158985430.6	0.342539858	636.55
91	NO_ID	400.7788609	2.873064277	0.274307679	1.001898141	0.693114966	0.011028925	8.839443929	0.019785376	6055797.717	0.004484436	1121658666	5061527842	8803476293	145995647.5	0.354214695	354.7208
92	NO_ID	413.3933835	2.433514022	0.290645296	1.139878903	0.698411408	0.009876373	6.404565616	0.019842405	15797158.24	0.004832961	1244929749	5287965927	8523172593	145194042.7	0.359584669	360.8146
94	NO_ID	310.8700509	1.778918985	0.281984707	1.027222398	0.658120015	0.01030419	9.782119199	0.02338549	14060008.21	0.001316257	1213594458	5088039720	8560109952	164427230.1	0.355053734	259.0816
95	NO_ID	728.4156968	4.973775555	0.271858817	1.155671897	0.702512185	0.011121535	7.228676725	0.021058534	19405546.71	0.003127592	1248298646	4982036430	8047745304	145717665.9	0.381794852	663.1923
96	NO_ID	733.9340792	1.334931436	0.275126316	1.062014596	0.659885225	0.010988281	8.459024672	0.020558541	22932145.69	0.005577565	1059196830	4696738197	9083013635	154744442.6	0.378173996	668.7303
97	NO_ID	482.6381747	2.689139993	0.296668145	1.11695274	0.727015008	0.01075716	9.726237397	0.02122329	6089495.363	0.004356876	1088596960	5341863471	8901408976	165961212.8	0.332280808	431.086
98	NO_ID	641.3465512	3.748535125	0.317529442	1.16759082	0.741850144	0.011179932	7.760770899	0.02343327	4941879.423	0.002785308	1105460095	5252514053	8161424137	151803683.9	0.389828397	584.4093
99	NO_ID	393.2299601	5.123078156	0.327664994	1.119436981	0.627955482	0.010514338	5.659404751	0.021249514	17067196.9	0.001757452	1090765391	4707299300	8414386458	165490963.9	0.360326222	343.206
100	NO_ID	623.0343066	3.791195146	0.323340722	1.040555854	0.763255981	0.010869164	8.829445889	0.023118772	7333162.617	0.003984633	1159618075	4653815289	9261292199	163213668.6	0.394345831	565.2207
101	NO_ID	315.9163774	3.909119884	0.314326337	1.00456361	0.66987143	0.010858683	7.485602913	0.023038495	14990239.17	0.003132089	1119937625	5184742753	8455674717	145313314.3	0.35331094	267.7282
102	NO_ID	746.838189	1.711594683	0.275314363	1.126621328	0.763698234	0.011075741	6.829573152	0.021636957	21277746.33	0.004769768	1243415569	4623113437	8123401417	142499478.5	0.352376067	678.8203
